File Name,File ID,View URL,AuthorName,Year,Title,AuthorName_Clean,Year_Clean,Title_Clean
Dolence - 2021 - Design Your Own Flow Cytometry Experiment A Four-.pdf,1Ja3J-L71gqiygKmBDzQwWZ4QzcyHVTtC,https://drive.google.com/file/d/1Ja3J-L71gqiygKmBDzQwWZ4QzcyHVTtC/view,Dolence,2021,Design Your Own Flow Cytometry Experiment A Four-,dolence,2021,design your own flow cytometry experiment a four-
Donahue et al. - 2019 - A Close-Up Look at PCR.pdf,10L3RmYA6b8I4XJzqDgseisYURxrdJ6I5,https://drive.google.com/file/d/10L3RmYA6b8I4XJzqDgseisYURxrdJ6I5/view,Donahue et al.,2019,A Close-Up Look at PCR,donahue et al.,2019,a close-up look at pcr
Donnelly - 2009 - An assessment of assemblage nestedness in habitat fragments.pdf,1OvZS99LC8Ty75uSkDWzuUiDa-pDzN5Va,https://drive.google.com/file/d/1OvZS99LC8Ty75uSkDWzuUiDa-pDzN5Va/view,Donnelly,2009,An assessment of assemblage nestedness in habitat fragments,donnelly,2009,an assessment of assemblage nestedness in habitat fragments
Donovan and Barcus - 2021 - An example of functional integration and applicati.pdf,1Nl_0lNgkBgn0uDvyNtW84i5ePFJgjNAb,https://drive.google.com/file/d/1Nl_0lNgkBgn0uDvyNtW84i5ePFJgjNAb/view,Donovan and Barcus,2021,An example of functional integration and applicati,donovan and barcus,2021,an example of functional integration and applicati
Douglas - 2008 - A Kinesthetic Model Demonstrating Molecular Intera.pdf,1abLh14VlU7lD9vBPMZo5Ia9mTm_1MWaW,https://drive.google.com/file/d/1abLh14VlU7lD9vBPMZo5Ia9mTm_1MWaW/view,Douglas,2008,A Kinesthetic Model Demonstrating Molecular Intera,douglas,2008,a kinesthetic model demonstrating molecular intera
"Dow et al. - 2021 - Bioinformatic Teaching Resources - For Educators, .pdf",1PDTUiinuipLIJWu3aaYHkkkVjIgFefdn,https://drive.google.com/file/d/1PDTUiinuipLIJWu3aaYHkkkVjIgFefdn/view,Dow et al.,2021,"Bioinformatic Teaching Resources - For Educators,",dow et al.,2021,"bioinformatic teaching resources - for educators,"
Drake - 2014 - Move It or Lose It Species Respond to a Warming World.pdf,1kAgSrOCahXWjFdDkQY1oFcWForRbSCqc,https://drive.google.com/file/d/1kAgSrOCahXWjFdDkQY1oFcWForRbSCqc/view,Drake,2014,Move It or Lose It Species Respond to a Warming World,drake,2014,move it or lose it species respond to a warming world
Drits-Esser et al. - 2014 - Beyond the Central Dogma Bringing Epigenetics int.pdf,1HthwaYS05FAvCVzEnx2NBcXDmrHir0A-,https://drive.google.com/file/d/1HthwaYS05FAvCVzEnx2NBcXDmrHir0A-/view,Drits-Esser et al.,2014,Beyond the Central Dogma Bringing Epigenetics int,drits-esser et al.,2014,beyond the central dogma bringing epigenetics int
Duggan et al. - 2020 - Squirrels in Space Using Radio Telemetry to Explo.pdf,19LjCcApznLW-x4Rmt01o5WI1d6tQ1rRT,https://drive.google.com/file/d/19LjCcApznLW-x4Rmt01o5WI1d6tQ1rRT/view,Duggan et al.,2020,Squirrels in Space Using Radio Telemetry to Explo,duggan et al.,2020,squirrels in space using radio telemetry to explo
"DUPE - Weeks et al. - 2013 - Making Microscopy Motivating, Memorable, & Managea.pdf",1E9WTnrbzPGs0Ej-3wf2MMnPi6FefzDio,https://drive.google.com/file/d/1E9WTnrbzPGs0Ej-3wf2MMnPi6FefzDio/view,DUPE - Weeks et al.,2013,"Making Microscopy Motivating, Memorable, & Managea",dupe - weeks et al.,2013,"making microscopy motivating, memorable, & managea"
Eason and Sherman - 2003 - Mate Choice In Soldier Beetles Field & Laboratory.pdf,1AaJ5sgTGNQYgktUPEriGso3RHZD_yNtB,https://drive.google.com/file/d/1AaJ5sgTGNQYgktUPEriGso3RHZD_yNtB/view,Eason and Sherman,2003,Mate Choice In Soldier Beetles Field & Laboratory,eason and sherman,2003,mate choice in soldier beetles field & laboratory
Eastman - 2020 - Investigating Gene Expression and Cell Specializat.pdf,1R6nhmXMlugFJyl3JK-eq5ZoKgOe_cXdp,https://drive.google.com/file/d/1R6nhmXMlugFJyl3JK-eq5ZoKgOe_cXdp/view,Eastman,2020,Investigating Gene Expression and Cell Specializat,eastman,2020,investigating gene expression and cell specializat
Ebert-May - 2008 - Climate change: confronting student ideas.pdf,1pDOeti1e_1kGHeg5RfrZuOPcRnxrlT1O,https://drive.google.com/file/d/1pDOeti1e_1kGHeg5RfrZuOPcRnxrlT1O/view,Ebert-May,2008,Climate change: confronting student ideas,ebert-may,2008,climate change: confronting student ideas
Eckdahl and Campbell - 2015 - Using Synthetic Biology and pClone Red for Authent.pdf,1ySXjYw6uX2xD41Y4YfFkRWfTXWsh0A0Y,https://drive.google.com/file/d/1ySXjYw6uX2xD41Y4YfFkRWfTXWsh0A0Y/view,Eckdahl and Campbell,2015,Using Synthetic Biology and pClone Red for Authent,eckdahl and campbell,2015,using synthetic biology and pclone red for authent
Eggleston et al. - 2008 - Parasitology as a teaching tool Isolation of apic.pdf,1ec68wncQ2oTHLzCV1qkYikPHcf0C765q,https://drive.google.com/file/d/1ec68wncQ2oTHLzCV1qkYikPHcf0C765q/view,Eggleston et al.,2008,Parasitology as a teaching tool Isolation of apic,eggleston et al.,2008,parasitology as a teaching tool isolation of apic
Elliott and Winter - 2011 - Classroom modified split-root technique and its ap.pdf,1LDgKxJ5nl2EXhzmv4giXXRP4ZjH0s7yM,https://drive.google.com/file/d/1LDgKxJ5nl2EXhzmv4giXXRP4ZjH0s7yM/view,Elliott and Winter,2011,Classroom modified split-root technique and its ap,elliott and winter,2011,classroom modified split-root technique and its ap
Emery et al. - 2019 - Quantifying and Visualizing Campus Tree Phenology.pdf,1ohAIzWL5hFJ9jB5Q4FBhwCghm2t7IZyg,https://drive.google.com/file/d/1ohAIzWL5hFJ9jB5Q4FBhwCghm2t7IZyg/view,Emery et al.,2019,Quantifying and Visualizing Campus Tree Phenology,emery et al.,2019,quantifying and visualizing campus tree phenology
Emtage et al. - 2016 - Cell Signaling Pathways - a Case Study Approach.pdf,1ObI5e14xepf6jAngWRQnAJOS23esI0YP,https://drive.google.com/file/d/1ObI5e14xepf6jAngWRQnAJOS23esI0YP/view,Emtage et al.,2016,Cell Signaling Pathways - a Case Study Approach,emtage et al.,2016,cell signaling pathways - a case study approach
Ernest - 2005 - Testing Hypotheses on PlantHerbivore Interactions .pdf,1EaZSxNGbNbv9AGhozuYlrt-aje505TLZ,https://drive.google.com/file/d/1EaZSxNGbNbv9AGhozuYlrt-aje505TLZ/view,Ernest,2005,Testing Hypotheses on PlantHerbivore Interactions,ernest,2005,testing hypotheses on plantherbivore interactions
Ero-Tolliver - 2020 - DNA cloning and protein analysis of animal-heme peroxidase within collagen IV of the extracellular matrix.pdf,1Yzfy-1JYyr7zeBnKhJ4OhBM4pmnnihKk,https://drive.google.com/file/d/1Yzfy-1JYyr7zeBnKhJ4OhBM4pmnnihKk/view,Ero-Tolliver,2020,DNA cloning and protein analysis of animal-heme peroxidase within collagen IV of the extracellular matrix,ero-tolliver,2020,dna cloning and protein analysis of animal-heme peroxidase within collagen iv of the extracellular matrix
Escobar et al. - 2019 - Tackling “Big Data” with Biology Undergrads A Sim.pdf,1EFpszT2zbaPUEzE-M3xO4XffnHaqsExg,https://drive.google.com/file/d/1EFpszT2zbaPUEzE-M3xO4XffnHaqsExg/view,Escobar et al.,2019,Tackling “Big Data” with Biology Undergrads A Sim,escobar et al.,2019,tackling “big data” with biology undergrads a sim
Estes - 2015 - Modeling the Dynamic Digestive System Microbiome.pdf,1yuij-koI-vOYLVzLpYpHTt5mGmJe62XV,https://drive.google.com/file/d/1yuij-koI-vOYLVzLpYpHTt5mGmJe62XV/view,Estes,2015,Modeling the Dynamic Digestive System Microbiome,estes,2015,modeling the dynamic digestive system microbiome
Estes et al. - 2021 - Teaching Crafty Microbiology Safely Teaching Ha.pdf,1EvoirSgGLYmHbp3rxdPha0R7xcu1w6vr,https://drive.google.com/file/d/1EvoirSgGLYmHbp3rxdPha0R7xcu1w6vr/view,Estes et al.,2021,Teaching Crafty Microbiology Safely Teaching Ha,estes et al.,2021,teaching crafty microbiology safely teaching ha
Ezezika and Johnston - 2022 - Development and Implementation of a Reflective Wri.pdf,1Is6SBU9sU8zIpFOx6Mbado4-Mz5x40Wu,https://drive.google.com/file/d/1Is6SBU9sU8zIpFOx6Mbado4-Mz5x40Wu/view,Ezezika and Johnston,2022,Development and Implementation of a Reflective Wri,ezezika and johnston,2022,development and implementation of a reflective wri
Fargione - 2004 - Effects of Plant Biodiversity on Ecosystem Productivity within a Savannah Grassland Community,1AaejEMSkfBcgbx5Q8PM1MdolhUQk0DFK,https://drive.google.com/file/d/1AaejEMSkfBcgbx5Q8PM1MdolhUQk0DFK/view,Fargione,2004,Effects of Plant Biodiversity on Ecosystem Productivity within a Savannah Grassland Community,fargione,2004,effects of plant biodiversity on ecosystem productivity within a savannah grassland community
Felts - 2019 - From an Inquiry-Guided Project to a CURE in General Biology Testing Repellent Effects of Essential Oils and aFelts - 2019 - Parasitoid Wasp Against Callosobruchus maculatus.pdf,1ZJsdf4VXfeXVvhogJIpwfe-WvHfG_nEV,https://drive.google.com/file/d/1ZJsdf4VXfeXVvhogJIpwfe-WvHfG_nEV/view,Felts,2019,From an Inquiry-Guided Project to a CURE in General Biology Testing Repellent Effects of Essential Oils and aFelts - 2019 - Parasitoid Wasp Against Callosobruchus maculatus,felts,2019,from an inquiry-guided project to a cure in general biology testing repellent effects of essential oils and afelts - 2019 - parasitoid wasp against callosobruchus maculatus
Fey et al. - 2020 - Course-based undergraduate research experiences in.pdf,1TAGGAUecwDspmbljCIZlxPA2amRc5XhT,https://drive.google.com/file/d/1TAGGAUecwDspmbljCIZlxPA2amRc5XhT/view,Fey et al.,2020,Course-based undergraduate research experiences in,fey et al.,2020,course-based undergraduate research experiences in
Field - 2006 - Variations on an Historical Case Study.pdf,18e51Bz-D1HtdF6JgSKqMMWDnMNL0ztrL,https://drive.google.com/file/d/18e51Bz-D1HtdF6JgSKqMMWDnMNL0ztrL/view,Field,2006,Variations on an Historical Case Study,field,2006,variations on an historical case study
Fillmer et al. - 2018 - Using Tobamoviruses for Phylogenetic Instruction i.pdf,1zYj-sVhCT59HWt-CxkCuCy_8CtuFGFWY,https://drive.google.com/file/d/1zYj-sVhCT59HWt-CxkCuCy_8CtuFGFWY/view,Fillmer et al.,2018,Using Tobamoviruses for Phylogenetic Instruction i,fillmer et al.,2018,using tobamoviruses for phylogenetic instruction i
Finer - 2016 - Isolation and Characterization of Agrobacterium Strains from Soil: A Laboratory Capstone Experience,1pePkeF4m0tY47l8MouDR5efJ7tvfsdhl,https://drive.google.com/file/d/1pePkeF4m0tY47l8MouDR5efJ7tvfsdhl/view,Finer,2016,Isolation and Characterization of Agrobacterium Strains from Soil: A Laboratory Capstone Experience,finer,2016,isolation and characterization of agrobacterium strains from soil: a laboratory capstone experience
Firebaugh et al. - 2020 - Using Images of Foraging Leaf-Cutter Ants to Teach.pdf,1seqgTzQp6KpGfRBpsri1nFlvRnAGQcPZ,https://drive.google.com/file/d/1seqgTzQp6KpGfRBpsri1nFlvRnAGQcPZ/view,Firebaugh et al.,2020,Using Images of Foraging Leaf-Cutter Ants to Teach,firebaugh et al.,2020,using images of foraging leaf-cutter ants to teach
Fisher et al. - 2018 - The Tigriopus CURE - A Course-Based Undergraduate .pdf,1T0mNCGY0lJFHMoDaFUZCJ7VUl17oVaWk,https://drive.google.com/file/d/1T0mNCGY0lJFHMoDaFUZCJ7VUl17oVaWk/view,Fisher et al.,2018,The Tigriopus CURE - A Course-Based Undergraduate,fisher et al.,2018,the tigriopus cure - a course-based undergraduate
Fleming - 2015 - Out of Your Seat and on Your Feet! An adaptable co.pdf,1JUbQZeJhEdctGDSrZXDDTWPsDtegL17C,https://drive.google.com/file/d/1JUbQZeJhEdctGDSrZXDDTWPsDtegL17C/view,Fleming,2015,Out of Your Seat and on Your Feet! An adaptable co,fleming,2015,out of your seat and on your feet! an adaptable co
Flinn - 2014 - How do pawpaws affect tree regeneration.pdf,1B8SF3lDj71nRdnDqkgYvhgZKtVWZr4Ko,https://drive.google.com/file/d/1B8SF3lDj71nRdnDqkgYvhgZKtVWZr4Ko/view,Flinn,2014,How do pawpaws affect tree regeneration,flinn,2014,how do pawpaws affect tree regeneration
Forrester et al. - 2021 - Ain’t No Mountain Pine Enough A Case Study of How.pdf,1lcZnmzCdGVOa8cWlxnvWB60bb8MXguu8,https://drive.google.com/file/d/1lcZnmzCdGVOa8cWlxnvWB60bb8MXguu8/view,Forrester et al.,2021,Ain’t No Mountain Pine Enough A Case Study of How,forrester et al.,2021,ain’t no mountain pine enough a case study of how
Freeman - 2020 - Phenology Trends and Climate Change in Minnesota.pdf,1UAx_9HqXeL1bNLwZiSS3vGc8WG5mjlkC,https://drive.google.com/file/d/1UAx_9HqXeL1bNLwZiSS3vGc8WG5mjlkC/view,Freeman,2020,Phenology Trends and Climate Change in Minnesota,freeman,2020,phenology trends and climate change in minnesota
Freeman et al. - 2017 - Evaluating the Quick Fix Weight Loss Drugs and Ce.pdf,1VgxbGbYeNZYwp_5lopIUmez8rVxtdXrl,https://drive.google.com/file/d/1VgxbGbYeNZYwp_5lopIUmez8rVxtdXrl/view,Freeman et al.,2017,Evaluating the Quick Fix Weight Loss Drugs and Ce,freeman et al.,2017,evaluating the quick fix weight loss drugs and ce
Frey - 2006 - Forest Ecosystem Responses to Chronic Nitrogen Additions.pdf,1KMZ9cGK1PxFLQmUpNmh1GjEEOAvIT_SY,https://drive.google.com/file/d/1KMZ9cGK1PxFLQmUpNmh1GjEEOAvIT_SY/view,Frey,2006,Forest Ecosystem Responses to Chronic Nitrogen Additions,frey,2006,forest ecosystem responses to chronic nitrogen additions
Frey et al. - 2019 - The ACTN3 polymorphism Applications in genetics a.pdf,1-lmdAZ1_QdY1TrRFyQtyxoeVR4I978Cj,https://drive.google.com/file/d/1-lmdAZ1_QdY1TrRFyQtyxoeVR4I978Cj/view,Frey et al.,2019,The ACTN3 polymorphism Applications in genetics a,frey et al.,2019,the actn3 polymorphism applications in genetics a
Friedman and Terry - 2020 - Investigating Enzyme Structure and Function Throug.pdf,1ByRL0b8vcb5oEsaF1r5g-xR-peMVAXSL,https://drive.google.com/file/d/1ByRL0b8vcb5oEsaF1r5g-xR-peMVAXSL/view,Friedman and Terry,2020,Investigating Enzyme Structure and Function Throug,friedman and terry,2020,investigating enzyme structure and function throug
Furrow et al. - 2020 - Combining Microbial Culturing With Mathematical Mo.pdf,1UhAvGifChB4yyA1X3TKaXVOHgKCqh5Se,https://drive.google.com/file/d/1UhAvGifChB4yyA1X3TKaXVOHgKCqh5Se/view,Furrow et al.,2020,Combining Microbial Culturing With Mathematical Mo,furrow et al.,2020,combining microbial culturing with mathematical mo
Furrow et al. - 2020 - Vitamin C for Colds Writing LETTERS to Synthesize.pdf,1sdlnQ9rinMhwxvOOlPyU5AEGA5casbtT,https://drive.google.com/file/d/1sdlnQ9rinMhwxvOOlPyU5AEGA5casbtT/view,Furrow et al.,2020,Vitamin C for Colds Writing LETTERS to Synthesize,furrow et al.,2020,vitamin c for colds writing letters to synthesize
Gadi et al. - 2013 - p53 as Batman using a movie plot to understand co.pdf,15Cb0R16c6laCaUrt05XOudqgQ4mvfszx,https://drive.google.com/file/d/15Cb0R16c6laCaUrt05XOudqgQ4mvfszx/view,Gadi et al.,2013,p53 as Batman using a movie plot to understand co,gadi et al.,2013,p53 as batman using a movie plot to understand co
Gaff et al. - 2011 - Classroom Manipulative to Engage Students in Mathe.pdf,1ewsF73TJPfbVbF71m7_RSV9dmInIgcNB,https://drive.google.com/file/d/1ewsF73TJPfbVbF71m7_RSV9dmInIgcNB/view,Gaff et al.,2011,Classroom Manipulative to Engage Students in Mathe,gaff et al.,2011,classroom manipulative to engage students in mathe
Gallagher and Bevier - 2016 - Simulation Games for Animal Behavior Exploring Tradeoffs of Group Living in Lions.pdf,1FgzdLMVEQyqE7Pzy2PZ7SxHRai9fTjWC,https://drive.google.com/file/d/1FgzdLMVEQyqE7Pzy2PZ7SxHRai9fTjWC/view,Gallagher and Bevier,2016,Simulation Games for Animal Behavior Exploring Tradeoffs of Group Living in Lions,gallagher and bevier,2016,simulation games for animal behavior exploring tradeoffs of group living in lions
"Gallagher and Bevier - 2016 - Simulation Games for Animal Behavior Red Fish, Blue Fish; Exploring Sexual Selection and Color Polymorphism.pdf",1QSAlzJH39Ivu36WiQfJwVXL03KO9s3yp,https://drive.google.com/file/d/1QSAlzJH39Ivu36WiQfJwVXL03KO9s3yp/view,Gallagher and Bevier,2016,"Simulation Games for Animal Behavior Red Fish, Blue Fish; Exploring Sexual Selection and Color Polymorphism",gallagher and bevier,2016,"simulation games for animal behavior red fish, blue fish; exploring sexual selection and color polymorphism"
Galush et al. - 2017 - A new approach to course-based research using a he.pdf,1owoOAuYO6vtbQaotUevl6xc8_B2v7x88,https://drive.google.com/file/d/1owoOAuYO6vtbQaotUevl6xc8_B2v7x88/view,Galush et al.,2017,A new approach to course-based research using a he,galush et al.,2017,a new approach to course-based research using a he
Ganser et al. - 2021 - Exploring Miracle Fruit An Undergraduate Laborato.pdf,14H0zfya7usadDMVno8hwLhwaIqa0yONq,https://drive.google.com/file/d/14H0zfya7usadDMVno8hwLhwaIqa0yONq/view,Ganser et al.,2021,Exploring Miracle Fruit An Undergraduate Laborato,ganser et al.,2021,exploring miracle fruit an undergraduate laborato
Gardner et al. - 2011 - Human Brains Engaged in Rat Brains Student-driven.pdf,1Ic8FlUNpmYKs60Fl1iIj9DeHRtRi-uDD,https://drive.google.com/file/d/1Ic8FlUNpmYKs60Fl1iIj9DeHRtRi-uDD/view,Gardner et al.,2011,Human Brains Engaged in Rat Brains Student-driven,gardner et al.,2011,human brains engaged in rat brains student-driven
"Garretson and Crerar - 2021 - Moths and Frogs and E. coli, Oh My! Agent-based M.pdf",1LN6WhwnjFH0GWv2Uu5xYzIca-RxsccK4,https://drive.google.com/file/d/1LN6WhwnjFH0GWv2Uu5xYzIca-RxsccK4/view,Garretson and Crerar,2021,"Moths and Frogs and E. coli, Oh My! Agent-based M",garretson and crerar,2021,"moths and frogs and e. coli, oh my! agent-based m"
Garrison and Bupp - 2019 - Setting Up an Undergraduate Immunology Lab Resour.pdf,1RCrNi7fKfUkns7q76Yoz80Pi1mi_C0pY,https://drive.google.com/file/d/1RCrNi7fKfUkns7q76Yoz80Pi1mi_C0pY/view,Garrison and Bupp,2019,Setting Up an Undergraduate Immunology Lab Resour,garrison and bupp,2019,setting up an undergraduate immunology lab resour
Gartner - 2018 - Life Cycle Analysis and Assessment of Crop Production Methods.pdf,10UaZr-EI0iUG9hInTEGB-vwsHFg0XUbo,https://drive.google.com/file/d/10UaZr-EI0iUG9hInTEGB-vwsHFg0XUbo/view,Gartner,2018,Life Cycle Analysis and Assessment of Crop Production Methods,gartner,2018,life cycle analysis and assessment of crop production methods
Gastreich - 2019 - Using Citizen Science Data from iNaturalist to Explore Bumblebee Diversity and Distribution.pdf,1H53XuFWliN-BpCSRg5AvPQAg1rgjRiN9,https://drive.google.com/file/d/1H53XuFWliN-BpCSRg5AvPQAg1rgjRiN9/view,Gastreich,2019,Using Citizen Science Data from iNaturalist to Explore Bumblebee Diversity and Distribution,gastreich,2019,using citizen science data from inaturalist to explore bumblebee diversity and distribution
Gastreich - 2020 - Assessing Urban Biodiversity With the eBird Citize.pdf,1K-BTcUYV-jhwr8Lkfo2cHBXgJBS80Rpc,https://drive.google.com/file/d/1K-BTcUYV-jhwr8Lkfo2cHBXgJBS80Rpc/view,Gastreich,2020,Assessing Urban Biodiversity With the eBird Citize,gastreich,2020,assessing urban biodiversity with the ebird citize
Genne-Bacon and Bascom-Slack - 2018 - The PARE project A short course-based research project for national surveillance of antibiotic-resistant microbes in environmental samples.pdf,1wrvn0daR9L-OG3PywPC2QSR_0MJSh_d5,https://drive.google.com/file/d/1wrvn0daR9L-OG3PywPC2QSR_0MJSh_d5/view,Genne-Bacon and Bascom-Slack,2018,The PARE project A short course-based research project for national surveillance of antibiotic-resistant microbes in environmental samples,genne-bacon and bascom-slack,2018,the pare project a short course-based research project for national surveillance of antibiotic-resistant microbes in environmental samples
"Genova et al. - 2020 - What is Speciation, How Does It Occur, and Why Is .pdf",1_qL2OCEUx1-R6J1XO3kMWmLFHfJsI9On,https://drive.google.com/file/d/1_qL2OCEUx1-R6J1XO3kMWmLFHfJsI9On/view,Genova et al.,2020,"What is Speciation, How Does It Occur, and Why Is",genova et al.,2020,"what is speciation, how does it occur, and why is"
Ghosh - 2021 - Generating Biological Hypotheses in a Course-base.pdf,12OG2MUjm3USVVxISA1x1ZdnK4JaGU541,https://drive.google.com/file/d/12OG2MUjm3USVVxISA1x1ZdnK4JaGU541/view,Ghosh,2021,Generating Biological Hypotheses in a Course-base,ghosh,2021,generating biological hypotheses in a course-base
Giamanco - 2020 - Going Remote An Online Adaptation to Using a Prim.pdf,1JbCcjdry67DAGwe_N4k_VE7xFlsZEBde,https://drive.google.com/file/d/1JbCcjdry67DAGwe_N4k_VE7xFlsZEBde/view,Giamanco,2020,Going Remote An Online Adaptation to Using a Prim,giamanco,2020,going remote an online adaptation to using a prim
Giamanco - 2020 - Using a Primary Cell Culture Model to Study the Ne.pdf,1UJFZogHfQhijDs260-FkILqKQDwk6cOY,https://drive.google.com/file/d/1UJFZogHfQhijDs260-FkILqKQDwk6cOY/view,Giamanco,2020,Using a Primary Cell Culture Model to Study the Ne,giamanco,2020,using a primary cell culture model to study the ne
Gibbens - 2014 - Bad Cell Reception Using a cell part activity to .pdf,1uGA_X1jCET6IaQWml9ufToJAm23yZ-2c,https://drive.google.com/file/d/1uGA_X1jCET6IaQWml9ufToJAm23yZ-2c/view,Gibbens,2014,Bad Cell Reception Using a cell part activity to,gibbens,2014,bad cell reception using a cell part activity to
Gibbens et al. - 2015 - Exploring Metagenomics in the Laboratory of an Int.pdf,11XML7bcmQfhinaSeW1oFuGILNhjDT1qM,https://drive.google.com/file/d/11XML7bcmQfhinaSeW1oFuGILNhjDT1qM/view,Gibbens et al.,2015,Exploring Metagenomics in the Laboratory of an Int,gibbens et al.,2015,exploring metagenomics in the laboratory of an int
Gibbens et al. - 2015 - Using Gamification to Teach Undergraduate Students.pdf,1MXyDnCWYeqhFW4qr18BR0FgRRZGJkN9J,https://drive.google.com/file/d/1MXyDnCWYeqhFW4qr18BR0FgRRZGJkN9J/view,Gibbens et al.,2015,Using Gamification to Teach Undergraduate Students,gibbens et al.,2015,using gamification to teach undergraduate students
Gibson - 2014 - Investigating Plant Evolution Via Morphological And Molecular Phylogenetic Analysis.pdf,1JPlUtDHYpX460Lw_vTLoJl-9zhIM-Fm7,https://drive.google.com/file/d/1JPlUtDHYpX460Lw_vTLoJl-9zhIM-Fm7/view,Gibson,2014,Investigating Plant Evolution Via Morphological And Molecular Phylogenetic Analysis,gibson,2014,investigating plant evolution via morphological and molecular phylogenetic analysis
Gibson et al. - 2015 - The Red Queen's Race An Experimental Card Game to.pdf,14zT3XJn0sJhbm_PNYd9UCIxVHUlKbqH-,https://drive.google.com/file/d/14zT3XJn0sJhbm_PNYd9UCIxVHUlKbqH-/view,Gibson et al.,2015,The Red Queen's Race An Experimental Card Game to,gibson et al.,2015,the red queen's race an experimental card game to
Giese - 2005 - Using Inquiry & Phylogeny To Teach Comparative Mor.pdf,1zcnL5YdEGvwGbUTPbvGFiX0jFFQT-77G,https://drive.google.com/file/d/1zcnL5YdEGvwGbUTPbvGFiX0jFFQT-77G/view,Giese,2005,Using Inquiry & Phylogeny To Teach Comparative Mor,giese,2005,using inquiry & phylogeny to teach comparative mor
Gleichsner et al. - 2019 - Dynamic Daphnia An inquiry-based research experie.pdf,10eBl6K15CmygcPzsQhU0jNPCUEcqCVej,https://drive.google.com/file/d/10eBl6K15CmygcPzsQhU0jNPCUEcqCVej/view,Gleichsner et al.,2019,Dynamic Daphnia An inquiry-based research experie,gleichsner et al.,2019,dynamic daphnia an inquiry-based research experie
Goins - 2016 - Mathematical Analysis of Type 2 Diabetes Predisposition.pdf,1t0M8pSUBglFKR8qhKwJeos_3gziK6NSv,https://drive.google.com/file/d/1t0M8pSUBglFKR8qhKwJeos_3gziK6NSv/view,Goins,2016,Mathematical Analysis of Type 2 Diabetes Predisposition,goins,2016,mathematical analysis of type 2 diabetes predisposition
Goldsmith - 2003 - The Great Clade Race.pdf,1rznHmdonbQDcqju5uMyr5xQFVELZl4uc,https://drive.google.com/file/d/1rznHmdonbQDcqju5uMyr5xQFVELZl4uc/view,Goldsmith,2003,The Great Clade Race,goldsmith,2003,the great clade race
Goller and Ott - 2020 - Evolution of an 8-week upper-division metagenomics.pdf,1MP33C5CA_0khIf5xtvclQ0rw3LIxAkID,https://drive.google.com/file/d/1MP33C5CA_0khIf5xtvclQ0rw3LIxAkID/view,Goller and Ott,2020,Evolution of an 8-week upper-division metagenomics,goller and ott,2020,evolution of an 8-week upper-division metagenomics
Goller et al. - 2022 - Does Organelle Shape Matter Exploring Patterns i.pdf,1Q236-djQayvSoiilZUV8jzQ4-ul8nQ44,https://drive.google.com/file/d/1Q236-djQayvSoiilZUV8jzQ4-ul8nQ44/view,Goller et al.,2022,Does Organelle Shape Matter Exploring Patterns i,goller et al.,2022,does organelle shape matter exploring patterns i
Gordy and Goller - 2020 - Using Metabolic Engineering to Connect Molecular B.pdf,1UbvCrXPSfwIyJLSTlfcLnCPDpZ6KTPUv,https://drive.google.com/file/d/1UbvCrXPSfwIyJLSTlfcLnCPDpZ6KTPUv/view,Gordy and Goller,2020,Using Metabolic Engineering to Connect Molecular B,gordy and goller,2020,using metabolic engineering to connect molecular b
Gordy et al. - 2020 - Building the lac Operon A Guided-Inquiry Activity.pdf,1Ms46fcYrK782xDcrQaeb0nMk4u5MRPEx,https://drive.google.com/file/d/1Ms46fcYrK782xDcrQaeb0nMk4u5MRPEx/view,Gordy et al.,2020,Building the lac Operon A Guided-Inquiry Activity,gordy et al.,2020,building the lac operon a guided-inquiry activity
Gormally - 2020 - The Comics Project Synthesizing and Communicating.pdf,1dUzGeoCW31Ux7KX3vCJxi4DxOOElsbS-,https://drive.google.com/file/d/1dUzGeoCW31Ux7KX3vCJxi4DxOOElsbS-/view,Gormally,2020,The Comics Project Synthesizing and Communicating,gormally,2020,the comics project synthesizing and communicating
Gormally - 2020 - Using Comics to Make Science Come Alive.pdf,1b30eYttrZWVHCY9rQeDkcRHR36bQFEb_,https://drive.google.com/file/d/1b30eYttrZWVHCY9rQeDkcRHR36bQFEb_/view,Gormally,2020,Using Comics to Make Science Come Alive,gormally,2020,using comics to make science come alive
Gorospe et al. - 2020 - Using Seafood Traceability to Teach the Complexiti.pdf,1A0ljBQSrTYvCazLbshs6lo6hRB0vDjzc,https://drive.google.com/file/d/1A0ljBQSrTYvCazLbshs6lo6hRB0vDjzc/view,Gorospe et al.,2020,Using Seafood Traceability to Teach the Complexiti,gorospe et al.,2020,using seafood traceability to teach the complexiti
Goudsouzian et al. - 2017 - Using Yeast to Make Scientists A Six-Week Student.pdf,1d2hBSbS2qlEmvbDsy63LimW7EB3gjWGK,https://drive.google.com/file/d/1d2hBSbS2qlEmvbDsy63LimW7EB3gjWGK/view,Goudsouzian et al.,2017,Using Yeast to Make Scientists A Six-Week Student,goudsouzian et al.,2017,using yeast to make scientists a six-week student
"Grady et al. - 2018 - Size, Niches, and the Latitudinal Diversity Gradie.pdf",1NOZRlpceO33njhAeOwnb8Q939nZ6baOL,https://drive.google.com/file/d/1NOZRlpceO33njhAeOwnb8Q939nZ6baOL/view,Grady et al.,2018,"Size, Niches, and the Latitudinal Diversity Gradie",grady et al.,2018,"size, niches, and the latitudinal diversity gradie"
